District Name,County,Student Enrollment,White Students,White Teachers,District On-Time Graduation,Administrators,Teacher Experience,Counselors/Psychologists,Licensed Librarians,Teachers,Black/African American On-Time Graduation,Hispanic/Latino On-Time Graduation,White On-Time Graduation,Economically Disadvantaged On-Time Graduation,Students with Disabilities On-Time Graduation,librarian_student_ratio,counselor_student_ratio,teacher_student_ratio,administrator_student_ratio,Students_of_Color,Teachers_of_Color
Hillsboro SD 1J,Washington,20269,45,84,86.0,56,82,75,1,898,73.0,83.0,88.0,83.0,72.0,4.933642508263851e-05,0.0037002318811978885,0.04430410972420938,0.002762839804627757,55,16
Banks SD 13,Washington,1144,85,97,95.0,7,84,1,0,55,,,95.0,90.0,,0.0,0.0008741258741258741,0.04807692307692308,0.006118881118881119,15,3
Forest Grove SD 15,Washington,6075,40,71,81.0,21,84,21,0,308,,77.0,86.0,75.0,58.0,0.0,0.0034567901234567903,0.050699588477366254,0.0034567901234567903,60,29
Tigard-Tualatin SD 23J,Washington,12619,56,87,88.0,32,86,36,1,647,91.0,82.0,89.0,79.0,69.0,7.924558205880022e-05,0.002852840954116808,0.05127189159204374,0.002535858625881607,44,13
Beaverton SD 48J,Washington,41215,46,86,86.0,112,90,157,0,2115,75.0,77.0,87.0,77.0,62.0,0.0,0.0038092927332281936,0.0513162683489021,0.0027174572364430426,54,14
Sherwood SD 88J,Washington,5259,79,94,95.0,16,88,17,0,239,,91.0,95.0,95.0,84.0,0.0,0.003232553717436775,0.0454459022627876,0.0030424034987640235,21,6
Gaston SD 511J,Washington,549,83,93,95.0,2,85,2,1,33,,,95.0,95.0,,0.0018214936247723133,0.0036429872495446266,0.060109289617486336,0.0036429872495446266,17,7
Spray SD 1,Wheeler,64,84,100,,1,80,0,0,8,,,,,,0.0,0.0,0.125,0.015625,16,0
Fossil SD 21J,Wheeler,1021,90,97,,1,87,0,0,30,,,,,,0.0,0.0,0.029382957884427033,0.0009794319294809011,10,3
Mitchell SD 55,Wheeler,533,66,94,35.0,5,83,2,0,27,,23.0,35.0,35.0,30.0,0.0,0.00375234521575985,0.05065666041275797,0.009380863039399626,34,6
Yamhill Carlton SD 1,Yamhill,1052,85,94,73.0,6,71,1,0,54,,,71.0,61.0,55.0,0.0,0.0009505703422053232,0.051330798479087454,0.005703422053231939,15,6
